home,score_home,away,score_away,date,place,year
Brazil ,3, Croatia,1,12 June 201417:00 BRT (UTC−3),"Arena de São Paulo, São PauloAttendance: 62,103Referee: Yuichi Nishimura (Japan)",1930
Mexico ,1, Cameroon,0,13 June 201413:00 BRT (UTC−3),"Arena das Dunas, NatalAttendance: 39,216Referee: Wilmar Roldán (Colombia)",1930
Brazil ,0, Mexico,0,17 June 201416:00 BRT (UTC−3),"Estádio Castelão, FortalezaAttendance: 60,342Referee: Cüneyt Çakır (Turkey)",1930
Cameroon ,0, Croatia,4,18 June 201418:00 AMT (UTC−4),"Arena da Amazônia, ManausAttendance: 39,982Referee: Pedro Proença (Portugal)",1930
Cameroon ,1, Brazil,4,23 June 201417:00 BRT (UTC−3),"Estádio Nacional Mané Garrincha, BrasíliaAttendance: 69,112Referee: Jonas Eriksson (Sweden)",1930
Croatia ,1, Mexico,3,23 June 201417:00 BRT (UTC−3),"Itaipava Arena Pernambuco, RecifeAttendance: 41,212Referee: Ravshan Irmatov (Uzbekistan)",1930
Spain ,1, Netherlands,5,13 June 201416:00 BRT (UTC−3),"Itaipava Arena Fonte Nova, SalvadorAttendance: 48,173Referee: Nicola Rizzoli (Italy)[75]",1930
Chile ,3, Australia,1,13 June 201418:00 AMT (UTC−4),"Arena Pantanal, CuiabáAttendance: 40,275Referee: Noumandiez Doué (Ivory Coast)[75]",1930
Australia ,2, Netherlands,3,18 June 201413:00 BRT (UTC−3),"Estádio Beira-Rio, Porto AlegreAttendance: 42,877Referee: Djamel Haimoudi (Algeria)",1930
Spain ,0, Chile,2,18 June 201416:00 BRT (UTC−3),"Estádio do Maracanã, Rio de JaneiroAttendance: 74,101Referee: Mark Geiger (United States)",1930
Australia ,0, Spain,3,23 June 201413:00 BRT (UTC−3),"Arena da Baixada, CuritibaAttendance: 39,375Referee: Nawaf Shukralla (Bahrain)",1930
